Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Marlon King,Forward,23,Gillingham FC,First Division,Nottm Forest,First Division,03-04,NA,1400000
Okan Koc,Midfielder,21,Genclerbirligi,Süper Lig,Besiktas,Süper Lig,03-04,NA,1400000
Josip Skoko,Midfielder,27,KRC Genk,Jupiler Pro League,Genclerbirligi,Süper Lig,03-04,NA,1350000
Afonso Alves,Forward,22,Örgryte, Sweden,Malmö FF, Sweden,03-04,NA,1330000
Matías Delgado,Midfielder,20,Chacarita Jrs, Argentina,FC Basel,Super League,03-04,NA,1300000
Dorin Goian,Defender,23,FCM Bacau, Romania,FCS Bucharest, Romania,03-04,NA,1300000
Kennedy,Midfielder,23,Hammarby, Sweden,Iraklis,Super League,03-04,NA,1300000
Andrezinho,Midfielder,20,Flamengo, Brazil,Pohang Steelers," Korea, South",03-04,NA,1300000
Kevin Kilbane,Midfielder,26,Sunderland,First Division,Everton,Premier League,03-04,NA,1250000
Matt Holland,Midfielder,29,Ipswich,First Division,Charlton,Premier League,03-04,NA,1250000
Rob Hulse,Forward,23,Crewe Alexandra,First Division,West Brom,First Division,03-04,NA,1250000
Darren Huckerby,Midfielder,27,Man City,Premier League,Norwich,First Division,03-04,NA,1250000
Richard Dostalek,Midfielder,29,Slavia Prag,HET Liga,Rubin Kazan,Premier Liga,03-04,NA,1250000
Niclas Jensen,Defender,28,Man City,Premier League,Bor. Dortmund,1.Bundesliga,03-04,NA,1250000
Servet Cetin,Defender,22,Denizlispor,Süper Lig,Fenerbahce,Süper Lig,03-04,NA,1200000
Jonathan Blondel,Midfielder,19,Spurs,Premier League,Club Brugge,Jupiler Pro League,03-04,NA,1200000
Chidi Odiah,Defender,20,Sheriff, Moldova,CSKA Moscow,Premier Liga,03-04,NA,1200000
Elpídio Silva,Forward,27,Boavista,Liga NOS,Sporting CP,Liga NOS,03-04,NA,1200000
Alan Lee,Forward,25,Rotherham Utd.,First Division,Cardiff,First Division,03-04,NA,1200000
Dário,Forward,26,Coimbra,Liga NOS,Al-Jazira, United Arab Emirates,03-04,NA,1200000
Marcinho Guerreiro,Midfielder,23,Figueirense FC, Brazil,Palmeiras, Brazil,03-04,NA,1200000
Fernando,Defender,23,Flamengo, Brazil,1860 Munich,1.Bundesliga,03-04,NA,1200000
Darijo Srna,Defender,21,Hajduk Split, Croatia,Shakhtar D.,Premier Liga,03-04,NA,1200000
Duccio Innocenti,Defender,27,Bari,Serie B,Atalanta,Serie B,03-04,NA,1150000
Habib Bèye,Defender,25,R. Strasbourg,Ligue 1,Marseille,Ligue 1,03-04,NA,1100000
Antoine Sibierski,Midfielder,29,Lens,Ligue 1,Man City,Premier League,03-04,NA,1100000
Bernt Haas,Defender,25,Sunderland,First Division,West Brom,First Division,03-04,NA,1100000
Roberto Muzzi,Forward,31,Udinese Calcio,Serie A,Lazio,Serie A,03-04,NA,1100000
Bosingwa,Defender,20,Boavista,Liga NOS,FC Porto,Liga NOS,03-04,NA,1000000
Dirk Kuyt,Midfielder,22,FC Utrecht,Eredivisie,Feyenoord,Eredivisie,03-04,NA,1000000
Razvan Rat,Defender,22,Rapid Bucharest, Romania,Shakhtar D.,Premier Liga,03-04,NA,1000000
Stjepan Tomas,Defender,27,Como,Serie B,Fenerbahce,Süper Lig,03-04,NA,1000000
Aleksandr Belozerov,Defender,21,Lada Togliatti, Russia,Spartak Moscow,Premier Liga,03-04,NA,1000000
Moritz Volz,Defender,20,Arsenal,Premier League,Fulham,Premier League,03-04,NA,1000000
Mehmet Yilmaz,Forward,24,Samsunspor,Süper Lig,Trabzonspor,Süper Lig,03-04,NA,1000000
Pierre van Hooijdonk,Forward,33,Feyenoord,Eredivisie,Fenerbahce,Süper Lig,03-04,NA,1000000
Didier Drogba,Forward,26,Marseille,Ligue 1,Chelsea,Premier League,04-05,NA,38500000
Wayne Rooney,Forward,18,Everton,Premier League,Man Utd,Premier League,04-05,NA,37000000
Ricardo Carvalho,Defender,26,FC Porto,Liga NOS,Chelsea,Premier League,04-05,NA,30000000
Émerson,Midfielder,28,AS Roma,Serie A,Juventus,Serie A,04-05,NA,28000000
Samuel Eto'o,Forward,23,RCD Mallorca,LaLiga,FC Barcelona,LaLiga,04-05,NA,27000000
Wálter Samuel,Defender,26,AS Roma,Serie A,Real Madrid,LaLiga,04-05,NA,25000000
Deco,Midfielder,26,FC Porto,Liga NOS,FC Barcelona,LaLiga,04-05,NA,21000000
Paulo Ferreira,Defender,25,FC Porto,Liga NOS,Chelsea,Premier League,04-05,NA,20000000
Djibril Cissé,Forward,22,AJ Auxerre,Ligue 1,Liverpool,Premier League,04-05,NA,20000000
Jonathan Woodgate,Defender,24,Newcastle,Premier League,Real Madrid,LaLiga,04-05,NA,18300000
Arjen Robben,Midfielder,20,PSV Eindhoven,Eredivisie,Chelsea,Premier League,04-05,NA,18000000
Stefano Fiore,Midfielder,29,Lazio,Serie A,Valencia CF,LaLiga,04-05,NA,17000000
Xabi Alonso,Midfielder,22,Real Sociedad,LaLiga,Liverpool,Premier League,04-05,NA,16000000
Matteo Brighi,Midfielder,23,Juventus,Serie A,AS Roma,Serie A,04-05,NA,16000000
Zlatan Ibrahimovic,Forward,22,AFC Ajax,Eredivisie,Juventus,Serie A,04-05,NA,16000000
Carlos Tévez,Forward,20,Boca Juniors, Argentina,Corinthians,Série A,04-05,15000000,15000000
Tiago,Midfielder,23,Benfica,Liga NOS,Chelsea,Premier League,04-05,NA,15000000
Valeri Bojinov,Forward,18,Lecce,Serie A,Fiorentina,Serie A,04-05,13000000,14000000
Matuzalém,Midfielder,24,Brescia,Serie A,Shakhtar D.,Premier Liga,04-05,NA,14000000
Petr Cech,Goalkeeper,22,Stade Rennais,Ligue 1,Chelsea,Premier League,04-05,NA,13000000
Jiri Jarosik,Defender,27,CSKA Moscow,Premier Liga,Chelsea,Premier League,04-05,5000000,12000000
Michael Owen,Forward,24,Liverpool,Premier League,Real Madrid,LaLiga,04-05,NA,12000000
Lúcio,Defender,26,Bay. Leverkusen,1.Bundesliga,Bayern Munich ,1.Bundesliga,04-05,NA,12000000
Alex,Defender,22,Santos FC, Brazil,Chelsea,Premier League,04-05,NA,11500000
Matteo Brighi,Midfielder,23,Parma,Serie A,Juventus,Serie A,04-05,NA,11500000
Jean-Alain Boumsong,Defender,25,Rangers,Premiership,Newcastle,Premier League,04-05,8500000,11300000
Marco Di Vaio,Forward,27,Juventus,Serie A,Valencia CF,LaLiga,04-05,NA,11000000
Nicolas Anelka,Forward,25,Man City,Premier League,Fenerbahce,Süper Lig,04-05,15000000,10700000
Jaap Stam,Defender,31,Lazio,Serie A,AC Milan,Serie A,04-05,NA,10500000
Carlos Alberto,Midfielder,20,FC Porto,Liga NOS,Corinthians,Série A,04-05,6000000,10000000
Gabriel Heinze,Defender,26,Paris SG,Ligue 1,Man Utd,Premier League,04-05,NA,10000000
Fabio Cannavaro,Defender,30,Inter,Serie A,Juventus,Serie A,04-05,NA,10000000
Jérôme Rothen,Midfielder,26,Monaco,Ligue 1,Paris SG,Ligue 1,04-05,NA,10000000
Péguy Luyindula,Forward,25,Olympique Lyon,Ligue 1,Marseille,Ligue 1,04-05,NA,10000000
Javier Chevantón,Forward,23,Lecce,Serie A,Monaco,Ligue 1,04-05,NA,10000000
Mario Yepes,Defender,28,FC Nantes,Ligue 1,Paris SG,Ligue 1,04-05,NA,10000000
Emile Heskey,Forward,26,Liverpool,Premier League,Birmingham,Premier League,04-05,NA,9320000
Fernando Morientes,Forward,28,Real Madrid,LaLiga,Liverpool,Premier League,04-05,15000000,9250000
Torsten Frings,Midfielder,27,Bor. Dortmund,1.Bundesliga,Bayern Munich ,1.Bundesliga,04-05,NA,9250000
James Beattie,Forward,26,Southampton,Premier League,Everton,Premier League,04-05,10000000,9000000
Papa Bouba Diop,Midfielder,26,Lens,Ligue 1,Fulham,Premier League,04-05,NA,9000000
Alan Smith,Midfielder,23,Leeds,Championship,Man Utd,Premier League,04-05,NA,9000000
Luis García,Midfielder,26,FC Barcelona,LaLiga,Liverpool,Premier League,04-05,NA,8750000
Fernando Cavenaghi,Forward,20,River Plate, Argentina,Spartak Moscow,Premier Liga,04-05,NA,8600000
Éric Abidal,Defender,24,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,04-05,NA,8500000
Ludovic Giuly,Midfielder,27,Monaco,Ligue 1,FC Barcelona,LaLiga,04-05,NA,8500000
Pierre-Alain Frau,Forward,24,FC Sochaux,Ligue 1,Olympique Lyon,Ligue 1,04-05,NA,8500000
Andy Reid,Midfielder,22,Nottm Forest,Championship,Spurs,Premier League,04-05,3500000,8000000
Edmílson,Defender,27,Olympique Lyon,Ligue 1,FC Barcelona,LaLiga,04-05,NA,8000000
Goran Pandev,Forward,20,Inter,Serie A,Lazio,Serie A,04-05,NA,8000000
Anderson,Midfielder,16,Grêmio, Brazil,FC Porto,Liga NOS,04-05,NA,8000000
Elano,Midfielder,23,Santos FC,Série A,Shakhtar D.,Premier Liga,04-05,NA,7600000
Derlei,Forward,29,FC Porto,Liga NOS,Dinamo Moscow,Premier Liga,04-05,10000000,7500000
Mateja Kezman,Forward,25,PSV Eindhoven,Eredivisie,Chelsea,Premier League,04-05,NA,7500000
Tomás Ujfalusi,Defender,26,Hamburger SV,1.Bundesliga,Fiorentina,Serie A,04-05,NA,7500000
Hélder Postiga,Forward,21,Spurs,Premier League,FC Porto,Liga NOS,04-05,NA,7500000
James Milner,Midfielder,18,Leeds,Championship,Newcastle,Premier League,04-05,NA,7400000
Barry Ferguson,Midfielder,27,Blackburn,Premier League,Rangers,Premiership,04-05,5250000,7250000
Simone Perrotta,Midfielder,26,Chievo Verona,Serie A,AS Roma,Serie A,04-05,NA,7200000
Michael Dawson,Defender,21,Nottm Forest,Championship,Spurs,Premier League,04-05,1000000,7000000
Philippe Mexès,Defender,22,AJ Auxerre,Ligue 1,AS Roma,Serie A,04-05,NA,7000000
Fabrizio Miccoli,Forward,25,Juventus,Serie A,Fiorentina,Serie A,04-05,NA,7000000
Matteo Ferrari,Defender,24,Parma,Serie A,AS Roma,Serie A,04-05,NA,7000000
Diego,Midfielder,19,Santos FC, Brazil,FC Porto,Liga NOS,04-05,NA,7000000
Mark Viduka,Forward,28,Leeds,Championship,Middlesbrough,Premier League,04-05,NA,6750000
Giampaolo Pazzini,Forward,20,Atalanta,Serie A,Fiorentina,Serie A,04-05,3000000,6500000
Maxi López,Forward,20,River Plate, Argentina,FC Barcelona,LaLiga,04-05,NA,6500000
Giorgio Chiellini,Defender,19,AS Livorno,Serie A,Fiorentina,Serie A,04-05,NA,6500000
Luciano Figueroa,Forward,23,CD Cruz Azul, Mexico,Villarreal CF,LaLiga,04-05,3250000,6200000
Vágner Love,Forward,20,Palmeiras, Brazil,CSKA Moscow,Premier Liga,04-05,NA,6200000
Dean Ashton,Forward,21,Crewe Alexandra,Championship,Norwich,Premier League,04-05,750000,6000000
Mido,Forward,21,Marseille,Ligue 1,AS Roma,Serie A,04-05,NA,6000000
Juliano Belletti,Defender,28,Villarreal CF,LaLiga,FC Barcelona,LaLiga,04-05,NA,6000000
Eduardo Costa,Midfielder,21,G. Bordeaux,Ligue 1,Marseille,Ligue 1,04-05,NA,6000000
Ricardo Quaresma,Midfielder,20,FC Barcelona,LaLiga,FC Porto,Liga NOS,04-05,NA,6000000
Nilmar,Forward,20,Internacional, Brazil,Olympique Lyon,Ligue 1,04-05,NA,5750000
Francisco Lima,Midfielder,33,AS Roma,Serie A,Loko Moscow,Premier Liga,04-05,NA,5700000
Edú,Forward,25,Celta de Vigo,LaLiga2,Real Betis,LaLiga,04-05,NA,5500000
Dario Dainelli,Defender,25,Brescia,Serie A,Fiorentina,Serie A,04-05,NA,5500000
Stephen Makinwa,Forward,21,Genoa,Serie B,Atalanta,Serie A,04-05,200000,5400000
Joel Huiqui,Defender,21,CF Pachuca, Mexico,CD Cruz Azul, Mexico,04-05,NA,5400000
Gerard Piqué,Defender,17,Barça Juvenil A, Spain,Man Utd,Premier League,04-05,NA,5250000
Sean Davis,Midfielder,24,Fulham,Premier League,Spurs,Premier League,04-05,NA,5200000
Fabricio Coloccini,Defender,23,AC Milan,Serie A,Dep. La Coruña,LaLiga,04-05,8000000,5000000
Franck Ribéry,Midfielder,21,FC Metz,Ligue 1,Galatasaray,Süper Lig,04-05,4500000,5000000
Miroslav Klose,Forward,26,1.FC K'lautern,1.Bundesliga,Werder Bremen,1.Bundesliga,04-05,NA,5000000
Mohamed Kallon,Forward,24,Inter,Serie A,Monaco,Ligue 1,04-05,NA,5000000
Simone Barone,Midfielder,26,Parma,Serie A,US Palermo,Serie A,04-05,NA,5000000
Benoît Pedretti,Midfielder,23,FC Sochaux,Ligue 1,Marseille,Ligue 1,04-05,NA,5000000
Manuel Almunia,Goalkeeper,27,Celta de Vigo,LaLiga2,Arsenal,Premier League,04-05,NA,5000000
Sylvain Armand,Defender,23,FC Nantes,Ligue 1,Paris SG,Ligue 1,04-05,NA,5000000
Peter Luccin,Midfielder,25,Celta de Vigo,LaLiga2,Atlético Madrid,LaLiga,04-05,NA,5000000
Rodrigo,Defender,24,São Paulo,Série A,Dynamo Kyiv,Premier Liga,04-05,NA,5000000
Jádson,Midfielder,21,Atlético-PR,Série A,Shakhtar D.,Premier Liga,04-05,NA,5000000
Angelos Charisteas,Forward,24,Werder Bremen,1.Bundesliga,AFC Ajax,Eredivisie,04-05,6000000,4900000
César Carignano,Forward,21,Colón, Argentina,FC Basel,Super League,04-05,NA,4700000
Robbie Savage,Midfielder,30,Birmingham,Premier League,Blackburn,Premier League,04-05,5000000,4500000
Juanfran,Defender,27,Celta de Vigo,LaLiga2,Besiktas,Süper Lig,04-05,NA,4500000
Thimothée Atouba,Defender,22,FC Basel,Super League,Spurs,Premier League,04-05,NA,4500000
Robert Earnshaw,Forward,23,Cardiff,Championship,West Brom,Premier League,04-05,NA,4500000
Robin van Persie,Forward,20,Feyenoord,Eredivisie,Arsenal,Premier League,04-05,NA,4500000
Nemanja Vidic<U+200E>,Defender,22,Red Star, Serbia,Spartak Moscow,Premier Liga,04-05,NA,4450000
Michael Carrick,Midfielder,23,West Ham,Championship,Spurs,Premier League,04-05,NA,4100000
Benjamin Lauth,Forward,22,1860 Munich,2.Bundesliga,Hamburger SV,1.Bundesliga,04-05,NA,4100000
Clemente Rodríguez,Defender,23,Boca Juniors, Argentina,Spartak Moscow,Premier Liga,04-05,3500000,4000000
Radoslav Kovac,Defender,25,Sparta Praha,HET Liga,Spartak Moscow,Premier Liga,04-05,50000,4000000
Robert,Forward,23,Atlas, Mexico,PSV Eindhoven,Eredivisie,04-05,50000,4000000
Mikel Arteta,Midfielder,22,Rangers,Premiership,Real Sociedad,LaLiga,04-05,NA,4000000
Alex,Midfielder,26,Cruzeiro, Brazil,Fenerbahce,Süper Lig,04-05,NA,4000000
Marcelo Bordon,Defender,28,VfB Stuttgart,1.Bundesliga,FC Schalke 04,1.Bundesliga,04-05,NA,4000000
Martin Laursen,Defender,26,AC Milan,Serie A,Aston Villa,Premier League,04-05,NA,4000000
Emanuele Calaiò,Forward,22,Pescara,Serie B,SSC Napoli,Serie C - B,04-05,NA,4000000
Ricardo Oliveira,Forward,24,Valencia CF,LaLiga,Real Betis,LaLiga,04-05,NA,4000000
Francis Jeffers,Forward,23,Arsenal,Premier League,Charlton,Premier League,04-05,NA,3900000
Daniel Van Buyten,Defender,26,Marseille,Ligue 1,Hamburger SV,1.Bundesliga,04-05,NA,3800000
Martin Albrechtsen,Defender,24,FC Copenhagen,Superligaen,West Brom,Premier League,04-05,NA,3750000
Nicky Butt,Midfielder,29,Man Utd,Premier League,Newcastle,Premier League,04-05,NA,3750000
Thomas Buffel,Midfielder,23,Feyenoord,Eredivisie,Rangers,Premiership,04-05,5500000,3500000
Dudu Cearense,Midfielder,21,Kashiwa Reysol,J1 League,CSKA Moscow,Premier Liga,04-05,2500000,3500000
Cris,Defender,27,Cruzeiro, Brazil,Olympique Lyon,Ligue 1,04-05,NA,3500000
John Carew,Forward,24,Valencia CF,LaLiga,Besiktas,Süper Lig,04-05,NA,3500000
Paul Freier,Midfielder,24,VfL Bochum,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,04-05,NA,3500000
Ariza Makukula,Forward,23,FC Nantes,Ligue 1,Sevilla FC,LaLiga,04-05,NA,3500000
Dennis Rommedahl,Midfielder,25,PSV Eindhoven,Eredivisie,Charlton,Premier League,04-05,NA,3500000
Cícero,Forward,18,Braga,Liga NOS,Dinamo Moscow,Premier Liga,04-05,NA,3500000
Mariano González,Midfielder,23,Racing Club, Argentina,US Palermo,Serie A,04-05,NA,3500000
Nicolás Burdisso,Defender,23,Boca Juniors, Argentina,Inter,Serie A,04-05,NA,3500000
Luís Fabiano,Forward,23,São Paulo, Brazil,FC Porto,Liga NOS,04-05,NA,3500000
Jefferson Farfán,Midfielder,19,Alianza Lima, Peru,PSV Eindhoven,Eredivisie,04-05,NA,3500000
Thomas Gravesen,Midfielder,28,Everton,Premier League,Real Madrid,LaLiga,04-05,6000000,3400000
Luis Perea,Defender,25,Boca Juniors, Argentina,Atlético Madrid,LaLiga,04-05,NA,3300000
Jesper Grönkjaer,Midfielder,26,Chelsea,Premier League,Birmingham,Premier League,04-05,NA,3300000
Martin Jiranek,Defender,25,Reggina,Serie A,Spartak Moscow,Premier Liga,04-05,NA,3300000
Danny Murphy,Midfielder,27,Liverpool,Premier League,Charlton,Premier League,04-05,NA,3250000
Cristian Silvestri,Defender,29,Lecce,Serie A,Catania,Serie B,04-05,1250000,3200000
Diego Forlán,Forward,25,Man Utd,Premier League,Villarreal CF,LaLiga,04-05,NA,3200000
Nigel Quashie,Midfielder,26,Portsmouth,Premier League,Southampton,Premier League,04-05,2500000,3150000
Amdy Fayé,Midfielder,27,Portsmouth,Premier League,Newcastle,Premier League,04-05,3000000,3000000
Danny,Midfielder,21,Sporting CP,Liga NOS,Dinamo Moscow,Premier Liga,04-05,2250000,3000000
Maicon,Defender,22,Cruzeiro, Brazil,Monaco,Ligue 1,04-05,NA,3000000
Georgios Seitaridis,Defender,23,Panathinaikos,Super League,FC Porto,Liga NOS,04-05,NA,3000000
Pablo Ibáñez,Defender,22,Albacete,LaLiga,Atlético Madrid,LaLiga,04-05,NA,3000000
Paul Robinson,Goalkeeper,24,Leeds,Championship,Spurs,Premier League,04-05,NA,3000000
Ibrahim Toraman,Defender,22,Gaziantepspor,Süper Lig,Besiktas,Süper Lig,04-05,NA,3000000
Pedro Mendes,Midfielder,25,FC Porto,Liga NOS,Spurs,Premier League,04-05,NA,3000000
Ilan,Forward,23,Atlético-PR, Brazil,FC Sochaux,Ligue 1,04-05,NA,3000000
Daniel Moreira,Forward,26,Lens,Ligue 1,Toulouse,Ligue 1,04-05,NA,3000000
Habib Bamogo,Forward,22,Montpellier,Ligue 2,Marseille,Ligue 1,04-05,NA,3000000
Éric Carrière,Midfielder,31,Olympique Lyon,Ligue 1,Lens,Ligue 1,04-05,NA,3000000
Stephen Carr,Defender,27,Spurs,Premier League,Newcastle,Premier League,04-05,NA,3000000
Fabrice Fiorèse,Midfielder,29,Paris SG,Ligue 1,Marseille,Ligue 1,04-05,NA,3000000
Julio Cáceres,Defender,24,Olimpia, Paraguay,FC Nantes,Ligue 1,04-05,NA,3000000
Vedran Runje,Goalkeeper,28,Marseille,Ligue 1,Standard Liège,Jupiler Pro League,04-05,NA,3000000
Juan Carlos Menseguez,Forward,20,River Plate, Argentina,VfL Wolfsburg,1.Bundesliga,04-05,NA,3000000
Tomasz Radzinski,Forward,30,Everton,Premier League,Fulham,Premier League,04-05,NA,3000000
Josemi,Defender,24,Málaga CF,LaLiga,Liverpool,Premier League,04-05,NA,3000000
Batista,Midfielder,29,Galatasaray,Süper Lig,Shakhtar D.,Premier Liga,04-05,NA,3000000
Florin Bratu,Forward,24,Galatasaray,Süper Lig,FC Nantes,Ligue 1,04-05,NA,3000000
Tomas Hübschman,Midfielder,22,Sparta Praha,HET Liga,Shakhtar D.,Premier Liga,04-05,NA,3000000
Jelle Van Damme,Defender,20,AFC Ajax,Eredivisie,Southampton,Premier League,04-05,NA,3000000
Peter Crouch,Forward,23,Aston Villa,Premier League,Southampton,Premier League,04-05,NA,3000000
David Healy,Forward,25,Preston NE,Championship,Leeds,Championship,04-05,NA,2750000
Sotiris Kyrgiakos,Defender,25,Panathinaikos,Super League,Rangers,Premiership,04-05,3800000,2630000
Eric Djemba-Djemba,Midfielder,23,Man Utd,Premier League,Aston Villa,Premier League,04-05,7000000,2540000
Leandro Romagnoli,Midfielder,23,San Lorenzo, Argentina,Tiburones Rojos, Mexico,04-05,3000000,2500000
Sergey Semak,Midfielder,28,CSKA Moscow,Premier Liga,Paris SG,Ligue 1,04-05,1000000,2500000
Emile Mpenza,Forward,26,Standard Liège,Jupiler Pro League,Hamburger SV,1.Bundesliga,04-05,NA,2500000
Ricardo Fuller,Forward,24,Preston NE,Championship,Portsmouth,Premier League,04-05,NA,2500000
Adailton,Defender,21,EC Vitória, Brazil,Stade Rennais,Ligue 1,04-05,NA,2500000
Andreas Görlitz,Defender,22,1860 Munich,2.Bundesliga,Bayern Munich ,1.Bundesliga,04-05,NA,2500000
Giorgi Demetradze,Forward,28,Metalurh D.,Premier Liga,Spartak V.,Premier Liga,04-05,NA,2500000
Lima,Forward,23,Braga,Liga NOS,Atlético-PR,Série A,04-05,NA,2500000
Mauro Rosales,Midfielder,23,Newell's, Argentina,AFC Ajax,Eredivisie,04-05,NA,2500000
Thiago Silva,Defender,20,Juventude,Série A,FC Porto,Liga NOS,04-05,NA,2500000
Júlio César,Goalkeeper,25,Flamengo,Série A,Inter,Serie A,04-05,2000000,2450000
Fabrizio Miccoli,Forward,25,Fiorentina,Serie A,Juventus,Serie A,04-05,15000000,2400000
Erik Hagen,Defender,29,Valerenga,Eliteserien,Zenit S-Pb,Premier Liga,04-05,2400000,2400000
Noé Pamarot,Defender,25,OGC Nice,Ligue 1,Spurs,Premier League,04-05,NA,2400000
Cata Díaz,Defender,25,Colón, Argentina,Boca Juniors, Argentina,04-05,NA,2400000
Roger,Midfielder,26,Benfica,Liga NOS,Corinthians,Série A,04-05,1500000,2300000
Mathieu Berson,Midfielder,24,FC Nantes,Ligue 1,Aston Villa,Premier League,04-05,NA,2300000
Marek Heinz,Forward,26,Banik Ostrava,HET Liga,Bor. M'gladbach,1.Bundesliga,04-05,NA,2300000
Robbie Blake,Forward,28,Burnley,Championship,Birmingham,Premier League,04-05,1750000,2250000
Richard Chaplow,Midfielder,20,Burnley,Championship,West Brom,Premier League,04-05,50000,2250000
Lomana LuaLua,Forward,23,Newcastle,Premier League,Portsmouth,Premier League,04-05,NA,2250000
Zoltán Gera,Midfielder,25,Ferencváros,NB I.,West Brom,Premier League,04-05,NA,2250000
Fitz Hall,Defender,23,Southampton,Premier League,Crystal Palace,Premier League,04-05,NA,2250000
Morten Gamst Pedersen,Midfielder,22,Tromsø,Eliteserien,Blackburn,Premier League,04-05,NA,2250000
Milos Krasic,Midfielder,19,Vojvodina, Serbia,CSKA Moscow,Premier Liga,04-05,NA,2250000
Emmanuel Eboué,Defender,21,KSK Beveren,Jupiler Pro League,Arsenal,Premier League,04-05,1800000,2200000
Sergio Almirón,Midfielder,23,Udinese Calcio,Serie A,FC Empoli,Serie B,04-05,NA,2200000
Vladimir Manchev,Forward,26,LOSC Lille,Ligue 1,Levante UD,LaLiga,04-05,NA,2200000
Tim Cahill,Midfielder,24,Millwall,Championship,Everton,Premier League,04-05,NA,2200000
Adriano,Defender,20,Coritiba FC,Série A,Sevilla FC,LaLiga,04-05,NA,2100000
Jesper Grönkjaer,Midfielder,27,Birmingham,Premier League,Atlético Madrid,LaLiga,04-05,6500000,2000000
Sonny Anderson,Forward,34,Villarreal CF,LaLiga,Al Rayyan, Qatar,04-05,4000000,2000000
Chong-gug Song,Defender,25,Feyenoord,Eredivisie,Suwon Bluewings," Korea, South",04-05,2800000,2000000
Luís Loureiro,Midfielder,28,Braga,Liga NOS,Dinamo Moscow,Premier Liga,04-05,2750000,2000000
Leandro,Defender,25,Cruzeiro,Série A,FC Porto,Liga NOS,04-05,2500000,2000000
Sebastian Mila,Midfielder,22,Grodzisk,Ekstraklasa,Austria Vienna,Bundesliga,04-05,1500000,2000000
Léo Lima,Midfielder,22,Marítimo,Liga NOS,FC Porto,Liga NOS,04-05,500000,2000000
Aleksey Bugaev,Defender,23,Torpedo Moscow,Premier Liga,Loko Moscow,Premier Liga,04-05,50000,2000000
Paulo Assunção,Midfielder,24,Nacional,Liga NOS,FC Porto,Liga NOS,04-05,NA,2000000
Jussiê,Midfielder,21,Cruzeiro,Série A,Lens,Ligue 1,04-05,NA,2000000
Kevin Hofland,Defender,25,PSV Eindhoven,Eredivisie,VfL Wolfsburg,1.Bundesliga,04-05,NA,2000000
Juan Carlos Cacho,Forward,22,CD Cruz Azul, Mexico,CF Pachuca, Mexico,04-05,NA,2000000
Marco Caneira,Defender,25,G. Bordeaux,Ligue 1,Valencia CF,LaLiga,04-05,NA,2000000
Vahid Hashemian,Forward,27,VfL Bochum,1.Bundesliga,Bayern Munich ,1.Bundesliga,04-05,NA,2000000
Seyi Olofinjana,Midfielder,24,SK Brann,Eliteserien,Wolves,Championship,04-05,NA,2000000
Erik Edman,Defender,25,Heerenveen,Eredivisie,Spurs,Premier League,04-05,NA,2000000
Weldon,Forward,23,Ponte Preta, Brazil,Al-Nasr, United Arab Emirates,04-05,NA,2000000
Rodolfo,Defender,21,Fluminense, Brazil,Dynamo Kyiv,Premier Liga,04-05,NA,2000000
Serkan Balci,Defender,20,Genclerbirligi,Süper Lig,Fenerbahce,Süper Lig,04-05,NA,2000000
Davide Carrus,Midfielder,25,Fiorentina,Serie A,Bari,Serie B,04-05,NA,2000000
DaMarcus Beasley,Defender,22,Chicago Fire,MLS,PSV Eindhoven,Eredivisie,04-05,NA,2000000
Pepe,Defender,21,Marítimo,Liga NOS,FC Porto,Liga NOS,04-05,NA,2000000
Davide Possanzini,Forward,28,UC AlbinoLeffe,Serie B,US Palermo,Serie A,04-05,50000,1900000
Claus Jensen,Midfielder,27,Charlton,Premier League,Fulham,Premier League,04-05,NA,1900000
Andreas Jakobsson,Defender,32,Bröndby IF,Superligaen,Southampton,Premier League,04-05,2000000,1800000
Damian Gorawski,Midfielder,26,Wisla Kraków,Ekstraklasa,FK Moskau,Premier Liga,04-05,1750000,1800000
Ki-hyeon Seol,Midfielder,25,RSC Anderlecht,Jupiler Pro League,Wolves,Championship,04-05,NA,1800000
Serghei Covalciuc,Midfielder,22,Karpaty, Ukraine,Spartak Moscow,Premier Liga,04-05,NA,1800000
Marcel,Forward,23,Suwon Bluewings," Korea, South",Coimbra,Liga NOS,04-05,NA,1800000
Sixto Peralta,Midfielder,25,Santos Laguna, Mexico,Tigres UANL, Mexico,04-05,NA,1800000
Calum Davenport,Defender,21,Coventry City,Championship,Spurs,Premier League,04-05,NA,1800000
Ibson,Midfielder,21,Flamengo,Série A,FC Porto,Liga NOS,04-05,NA,1800000
Mladen Petric,Forward,23,Grasshoppers,Super League,FC Basel,Super League,04-05,NA,1750000
Azar Karadas,Defender,22,Rosenborg BK,Eliteserien,Benfica,Liga NOS,04-05,NA,1750000
Jonathan Greening,Midfielder,25,Middlesbrough,Premier League,West Brom,Premier League,04-05,NA,1750000
Önder Turaci,Defender,22,Standard Liège,Jupiler Pro League,Fenerbahce,Süper Lig,04-05,NA,1700000
Pedro Benítez,Defender,23,Cerro Porteño, Paraguay,Shakhtar D.,Premier Liga,04-05,NA,1700000
Andreas Isaksson,Goalkeeper,22,Djurgarden, Sweden,Stade Rennais,Ligue 1,04-05,NA,1700000
